respondent_id,survey_date,session_source,role,region,city,institution_type,institution_tier,delivery_mode,discipline,program_level,year_of_study,age,ai_literacy_1to5,digital_comfort_1to5,internet_quality_1to5,ai_use_days_per_week,time_saved_hours_per_week,primary_ai_tool,other_tools_used,top_ai_use_cases,assessment_context_most_impacted,institution_policy_awareness,institution_ai_stance,cites_ai_sources_rate_0to1,verifies_ai_outputs_rate_0to1,perceived_learning_benefit_1to5,perceived_cheating_risk_1to5,perceived_dependency_risk_1to5,trust_in_ai_outputs_1to5,fairness_equity_concern_1to5,plagiarism_or_misuse_flag,student_grade_change_pct,student_stress_change_index,student_critical_thinking_change_index,staff_reported_ai_misuse_cases_last_term,ai_training_hours_last_6_months,ai_adoption_category
R102181,2025-09-27,Workshop Feedback,Admin,India,Chennai,K-12 School,Tier 2,Online,Business,Staff,,54,2,2,4,2,2.2,Notion AI,DALL·E; Stable Diffusion,Note-making; Quiz practice,In-class test,Trained on it,Allowed with citation,0.54,0.67,2,4,2,3,4,0,,,,3.0,13.3,Medium
R102182,2025-01-28,Workshop Feedback,Faculty,UK,Birmingham,K-12 School,Tier 2,Hybrid,Law,Staff,,52,3,2,4,4,6.4,Perplexity,ChatGPT; Khanmigo; Grammarly,Exam revision; Note-making; Quiz practice,Take-home assignment,Heard of it,Unclear,0.39,0.26,4,3,2,4,3,0,,,,2.0,8.0,Medium
R102183,2025-03-10,Panel Discussion Survey,Student,UK,Edinburgh,Public University,Tier 2,Hybrid,Engineering,Undergraduate,1,17,2,2,4,3,0.0,Perplexity,,Interview prep; Quiz practice,Take-home assignment,Read it,Not allowed,0.28,0.43,4,4,2,3,3,0,5.7,0.5,2.8,,1.4,Medium
R102184,2025-04-18,Panel Discussion Survey,Student,Singapore,Singapore,Private University,Tier 3,Online,Sciences,Undergraduate,1,23,3,2,4,6,8.7,ChatGPT,DALL·E; Gemini; Claude,Presentation creation; Quiz practice; Assignment writing,Online quiz,Heard of it,Allowed with citation,0.19,0.95,5,4,2,3,4,0,5.8,1.1,1.7,,0.0,High
R102185,2025-10-09,Panel Discussion Survey,Student,India,Pune,K-12 School,Tier 2,Hybrid,Sciences,High School,9,18,2,2,4,1,2.9,ChatGPT,Khanmigo; Gemini; Perplexity,Interview prep,Take-home assignment,Not aware,Allowed with citation,0.33,0.21,3,2,3,4,4,0,-4.2,-0.3,0.9,,0.0,Low
R102186,2025-02-25,Workshop Feedback,Faculty,India,Hyderabad,Community College,Tier 2,On-campus,Education,Staff,,33,3,2,4,1,0.0,ChatGPT,Notion AI,Coding help,In-class test,Heard of it,Unclear,0.74,0.69,4,3,4,2,3,0,,,,2.0,9.6,Medium
R102187,2025-01-05,Panel Discussion Survey,Student,UAE,Sharjah,Public University,Tier 2,On-campus,Computer Science,Undergraduate,1,17,3,2,4,4,2.5,QuillBot,Stable Diffusion,Research summarization,Project,Read it,Unclear,0.0,0.62,3,3,3,3,2,0,4.5,-5.8,-3.4,,0.0,Medium
R102188,2025-02-15,Class Survey,Student,Australia,Melbourne,K-12 School,Tier 2,On-campus,Education,Undergraduate,1,23,2,2,4,4,3.1,ChatGPT,Copilot; Stable Diffusion; Claude,Quiz practice; Exam revision; Presentation creation,In-class test,Heard of it,Unclear,0.0,0.27,4,3,4,2,3,0,0.6,-5.4,1.8,,1.0,Medium
R102189,2025-08-15,Panel Discussion Survey,Faculty,UK,Birmingham,Public University,Tier 2,On-campus,Sciences,Staff,,34,3,2,4,4,0.0,Notion AI,,Assignment writing,In-class test,Heard of it,Allowed (limited),0.32,0.83,4,4,2,4,4,0,,,,2.0,0.0,Medium
R102190,2025-07-16,Workshop Feedback,Student,UAE,Abu Dhabi,Public University,Tier 2,On-campus,Engineering,Undergraduate,2,21,4,2,4,6,6.5,ChatGPT,DALL·E; Gemini; ChatGPT,Career guidance,In-class test,Not aware,Allowed with citation,0.48,0.37,4,2,3,3,1,0,4.3,2.2,0.1,,3.9,High
R102191,2025-10-27,Panel Discussion Survey,Student,India,Kolkata,EdTech Bootcamp,Tier 3,On-campus,Sciences,Undergraduate,4,21,4,2,4,6,7.6,ChatGPT,ChatGPT; Copilot,Assignment writing; Exam revision; Note-making,Online quiz,Heard of it,Unclear,0.59,0.52,3,1,5,4,2,1,1.8,0.1,-0.6,,3.5,High
R102192,2024-12-28,Panel Discussion Survey,Student,UK,Edinburgh,Private University,Tier 2,On-campus,Engineering,High School,12,17,2,2,4,1,0.0,Perplexity,,Quiz practice,In-class test,Not aware,Allowed with citation,0.36,0.49,3,2,3,4,3,0,1.0,-1.8,-5.8,,2.2,Low
R102193,2025-11-22,Class Survey,Student,Australia,Sydney,Private University,Tier 1,Online,Sciences,Undergraduate,3,21,2,2,4,3,5.5,Midjourney,,Research summarization; Interview prep; Coding help,Online quiz,Trained on it,Unclear,0.04,0.35,2,4,4,2,3,0,5.6,2.7,2.3,,0.9,Medium
R102194,2025-09-01,Panel Discussion Survey,Student,India,Hyderabad,Private University,Tier 2,On-campus,Arts/Humanities,Undergraduate,1,20,4,2,4,6,7.4,Claude,QuillBot; Gemini; Copilot,Language improvement; Coding help; Research summarization,Take-home assignment,Not aware,Allowed (limited),0.53,1.0,4,3,3,2,3,0,5.6,-3.2,-3.3,,0.0,High
R102195,2025-04-30,Panel Discussion Survey,Faculty,USA,Seattle,EdTech Bootcamp,Tier 2,On-campus,Computer Science,Staff,,51,3,2,4,3,4.1,DALL·E,ChatGPT,Assignment writing; Coding help,Online quiz,Heard of it,Allowed (limited),0.32,0.22,1,5,3,3,3,1,,,,2.0,3.2,Medium
R102196,2025-07-08,Class Survey,Student,India,Delhi,Public University,Tier 1,On-campus,Engineering,Doctorate,2,38,3,2,4,2,1.6,ChatGPT,Gemini; ChatGPT; Stable Diffusion,Coding help; Presentation creation,Online quiz,Heard of it,Unclear,0.51,0.74,3,3,2,2,4,0,-2.0,-4.4,0.9,,4.9,Medium
R102197,2025-01-30,Panel Discussion Survey,Student,UAE,Sharjah,K-12 School,Tier 1,On-campus,Computer Science,High School,11,14,3,2,4,3,5.1,Copilot,QuillBot; Grammarly,Note-making,In-class test,Not aware,Allowed (limited),0.22,0.04,4,2,3,3,3,0,3.2,-4.3,-3.3,,1.9,Medium
R102198,2025-08-03,Panel Discussion Survey,Student,UAE,Dubai,Private University,Tier 2,Hybrid,Engineering,Undergraduate,3,21,3,2,4,5,8.6,ChatGPT,Copilot; Gemini,Research summarization,Viva/Oral,Read it,Allowed (limited),0.07,0.0,4,2,3,1,1,1,-4.7,-4.1,-4.5,,1.1,Medium
R102199,2025-06-22,Class Survey,Student,Canada,Ottawa,Public University,Tier 3,Hybrid,Sciences,Undergraduate,2,20,4,2,4,7,7.6,Gemini,Copilot; Khanmigo,Exam revision; Assignment writing,Take-home assignment,Read it,Not allowed,0.34,0.54,2,2,4,2,4,0,5.0,2.3,-3.3,,1.5,High
R102200,2025-11-04,Panel Discussion Survey,Student,Singapore,Singapore,Private University,Tier 2,On-campus,Business,Postgraduate,2,21,3,2,4,1,2.7,ChatGPT,Notion AI; Claude,Note-making; Career guidance; Interview prep,In-class test,Heard of it,Unclear,0.44,0.58,4,3,3,4,4,0,9.8,-3.7,-0.3,,3.2,Medium
R102201,2025-06-09,Class Survey,Faculty,India,Pune,Private University,Tier 1,Hybrid,Sciences,Staff,,59,4,2,4,5,7.5,ChatGPT,Grammarly; Gemini; Copilot,Assignment writing,In-class test,Trained on it,Unclear,0.54,0.8,3,1,3,2,3,0,,,,1.0,11.7,High
R102202,2025-10-25,Class Survey,Faculty,India,Mumbai,Public University,Tier 3,On-campus,Computer Science,Staff,,44,4,2,4,3,4.4,Grammarly,Copilot; QuillBot,Assignment writing; Presentation creation; Interview prep,Viva/Oral,Trained on it,Not allowed,0.47,0.82,3,3,4,4,2,0,,,,1.0,8.8,Medium
R102203,2025-08-07,Class Survey,Student,India,Pune,Private University,Tier 2,Hybrid,Arts/Humanities,High School,9,16,2,2,4,3,7.0,Grammarly,,Presentation creation,Take-home assignment,Not aware,Unclear,0.17,0.41,4,2,2,2,4,0,3.8,-4.8,-4.1,,0.8,Medium
R102204,2025-11-19,Class Survey,Student,India,Delhi,Community College,Tier 3,Online,Sciences,Undergraduate,4,18,2,2,4,4,3.3,ChatGPT,Grammarly; Claude; ChatGPT,Coding help; Research summarization,Online quiz,Not aware,Allowed with citation,0.26,0.46,3,3,1,3,2,0,2.2,-4.2,-0.5,,0.1,Medium
R102205,2025-07-21,Panel Discussion Survey,Student,India,Chennai,Private University,Tier 2,Online,Arts/Humanities,Doctorate,3,29,2,2,4,3,2.8,DALL·E,QuillBot,Assignment writing; Research summarization,In-class test,Heard of it,Allowed with citation,0.55,0.41,5,3,3,3,3,0,1.4,-0.5,-2.1,,0.8,Medium
R102206,2025-01-02,Panel Discussion Survey,Student,India,Kolkata,K-12 School,Tier 1,On-campus,Sciences,Undergraduate,1,22,3,2,4,5,4.4,Grammarly,Khanmigo; Grammarly; ChatGPT,Assignment writing,Viva/Oral,Trained on it,Allowed (limited),0.86,0.72,4,3,4,4,3,0,4.9,-2.5,3.7,,3.0,Medium
R102207,2025-03-04,Panel Discussion Survey,Student,India,Mumbai,K-12 School,Tier 2,Hybrid,Sciences,Undergraduate,4,18,4,2,4,6,8.7,Claude,Notion AI; Claude,Assignment writing; Coding help; Career guidance,Online quiz,Read it,Allowed with citation,0.5,0.31,4,2,3,3,2,0,7.8,-6.6,2.2,,1.6,High
R102208,2025-01-04,Class Survey,Student,India,Mumbai,Private University,Tier 2,Hybrid,Arts/Humanities,Undergraduate,4,22,3,2,4,4,4.3,Copilot,Notion AI,Assignment writing,In-class test,Heard of it,Allowed (limited),0.53,0.33,5,2,2,3,3,0,3.7,-2.5,-0.4,,3.3,Medium
R102209,2025-01-07,Workshop Feedback,Student,India,Bengaluru,Private University,Tier 3,Online,Law,Postgraduate,1,24,2,2,4,1,0.0,Gemini,ChatGPT; Perplexity,Note-making; Presentation creation; Assignment writing,Online quiz,Not aware,Allowed with citation,0.15,0.52,4,4,3,4,3,0,-0.6,-1.2,-2.2,,0.3,Low
R102210,2025-02-12,Workshop Feedback,Admin,Canada,Vancouver,Private University,Tier 1,On-campus,Computer Science,Staff,,52,3,2,4,5,9.3,Midjourney,,Presentation creation; Coding help,Project,Trained on it,Allowed with citation,0.64,0.64,4,4,3,4,4,0,,,,4.0,10.0,Medium
R102211,2025-12-11,Panel Discussion Survey,Student,India,Delhi,Private University,Tier 3,Hybrid,Engineering,Postgraduate,1,25,3,2,4,5,9.6,Copilot,Gemini; Grammarly,Assignment writing; Quiz practice; Exam revision,Take-home assignment,Heard of it,Allowed (limited),0.29,0.69,3,4,2,2,3,0,-2.3,-5.9,-1.8,,0.0,Medium
R102212,2025-02-13,Workshop Feedback,Faculty,USA,Chicago,Public University,Tier 3,On-campus,Business,Staff,,39,2,2,4,3,2.9,ChatGPT,ChatGPT; Notion AI; Midjourney,Note-making; Language improvement,Take-home assignment,Trained on it,Allowed with citation,0.1,0.36,2,3,3,1,3,0,,,,4.0,4.9,Medium
R102213,2025-05-21,Workshop Feedback,Student,Australia,Melbourne,Private University,Tier 3,On-campus,Law,Undergraduate,3,18,2,2,4,2,0.0,ChatGPT,ChatGPT; Gemini; Grammarly,Interview prep; Language improvement; Assignment writing,Take-home assignment,Read it,Allowed with citation,0.49,0.28,3,3,4,3,5,0,-3.7,1.9,0.7,,0.0,Medium
R102214,2025-12-10,Class Survey,Faculty,UAE,Dubai,Public University,Tier 3,Hybrid,Education,Staff,,35,4,2,4,6,10.9,Gemini,Khanmigo,Note-making; Research summarization,In-class test,Not aware,Unclear,0.44,0.66,4,4,3,4,4,0,,,,1.0,7.1,High
R102215,2025-07-19,Class Survey,Student,India,Mumbai,Private University,Tier 1,On-campus,Arts/Humanities,Doctorate,1,39,2,2,4,5,6.9,Copilot,Grammarly; Notion AI,Quiz practice,Online quiz,Heard of it,Not allowed,0.53,0.17,2,3,2,3,2,0,-0.4,-4.9,0.1,,3.9,Medium
R102216,2025-05-28,Panel Discussion Survey,Student,India,Delhi,EdTech Bootcamp,Tier 2,On-campus,Sciences,Undergraduate,1,23,3,2,4,4,5.6,Notion AI,ChatGPT,Exam revision; Coding help; Language improvement,Viva/Oral,Heard of it,Unclear,0.5,0.75,4,3,5,2,4,0,0.9,-7.0,3.3,,2.7,Medium
R102217,2025-01-04,Panel Discussion Survey,Faculty,USA,Seattle,Community College,Tier 3,Online,Computer Science,Staff,,53,3,2,4,4,5.0,Stable Diffusion,Notion AI,Quiz practice; Assignment writing; Research summarization,Online quiz,Read it,Not allowed,0.12,0.36,4,3,2,3,4,0,,,,3.0,5.8,Medium
R102218,2025-02-21,Panel Discussion Survey,Faculty,UAE,Sharjah,Private University,Tier 2,Hybrid,Sciences,Staff,,38,4,2,4,3,2.0,Gemini,,Exam revision,Take-home assignment,Read it,Allowed with citation,0.45,0.48,3,4,3,4,4,0,,,,3.0,5.4,Medium
R102219,2025-02-23,Panel Discussion Survey,Student,India,Bengaluru,Private University,Tier 1,Online,Computer Science,Postgraduate,1,26,3,2,4,3,2.8,Claude,,Interview prep; Note-making; Research summarization,Online quiz,Read it,Unclear,0.19,0.59,4,4,4,4,3,0,2.0,1.0,0.7,,0.0,Medium
R102220,2025-08-14,Class Survey,Student,India,Kolkata,Community College,Tier 2,Hybrid,Engineering,Undergraduate,3,22,3,2,4,3,5.0,ChatGPT,ChatGPT; Midjourney,Quiz practice; Exam revision; Assignment writing,In-class test,Read it,Allowed (limited),0.58,0.32,4,3,3,3,2,0,-2.7,-4.2,0.1,,1.8,Medium
R102221,2025-06-19,Panel Discussion Survey,Student,UAE,Abu Dhabi,Private University,Tier 1,Online,Arts/Humanities,Undergraduate,1,22,2,2,4,3,2.7,Claude,ChatGPT; Copilot; DALL·E,Assignment writing,Online quiz,Not aware,Allowed (limited),0.3,0.16,4,4,3,5,2,1,-5.1,-4.3,0.9,,5.0,Medium
R102222,2025-08-14,Panel Discussion Survey,Student,India,Kolkata,Private University,Tier 3,Hybrid,Engineering,Undergraduate,3,22,3,2,4,3,4.5,Grammarly,Gemini,Presentation creation; Quiz practice,Online quiz,Not aware,Unclear,0.23,0.66,4,5,1,4,3,0,4.9,-4.6,2.8,,1.8,Medium
R102223,2025-06-05,Class Survey,Student,USA,San Francisco,K-12 School,Tier 2,On-campus,Education,Undergraduate,2,18,3,2,4,4,4.8,Stable Diffusion,Gemini; Notion AI; Copilot,Presentation creation; Coding help; Research summarization,Online quiz,Heard of it,Unclear,0.0,0.26,5,2,4,3,1,1,-0.9,-0.4,-1.2,,0.8,Medium
R102224,2025-07-08,Workshop Feedback,Faculty,India,Mumbai,Public University,Tier 2,On-campus,Law,Staff,,47,3,2,4,2,0.3,QuillBot,,Exam revision; Research summarization; Language improvement,Viva/Oral,Read it,Allowed with citation,0.56,0.5,4,5,2,3,4,0,,,,2.0,4.2,Medium
R102225,2025-03-22,Panel Discussion Survey,Student,India,Pune,Private University,Tier 3,Online,Law,Postgraduate,2,27,3,2,4,4,8.0,ChatGPT,,Exam revision; Coding help; Quiz practice,Take-home assignment,Heard of it,Allowed (limited),0.29,0.45,3,3,4,4,1,0,2.8,0.6,-3.5,,1.6,Medium
R102226,2025-01-03,Panel Discussion Survey,Student,Canada,Toronto,Private University,Tier 2,On-campus,Computer Science,Undergraduate,4,19,3,2,4,3,4.8,DALL·E,Khanmigo; Claude; ChatGPT,Exam revision; Note-making,Project,Heard of it,Unclear,0.3,0.11,2,4,4,2,3,0,-2.9,-1.4,-0.1,,1.1,Medium
R102227,2025-10-10,Panel Discussion Survey,Student,India,Pune,K-12 School,Tier 3,On-campus,Business,Undergraduate,1,21,3,2,4,4,5.5,Midjourney,,Exam revision; Assignment writing,Project,Heard of it,Unclear,0.44,0.26,2,3,2,2,4,0,2.0,-2.2,0.7,,0.5,Medium
R102228,2025-05-22,Panel Discussion Survey,Student,USA,Chicago,EdTech Bootcamp,Tier 1,Hybrid,Computer Science,Doctorate,5,32,3,2,4,2,3.5,ChatGPT,Perplexity,Quiz practice; Coding help,Take-home assignment,Read it,Allowed (limited),0.19,0.51,3,4,2,2,3,0,2.5,-3.4,2.3,,1.0,Medium
R102229,2025-11-17,Class Survey,Student,India,Bengaluru,K-12 School,Tier 1,On-campus,Medicine,Undergraduate,4,23,3,2,4,4,1.2,DALL·E,Claude; Notion AI,Interview prep,Project,Not aware,Allowed with citation,0.08,0.67,4,4,3,3,3,0,6.3,-1.5,1.3,,0.0,Medium
R102230,2025-03-14,Workshop Feedback,Student,India,Chennai,Private University,Tier 1,On-campus,Computer Science,Undergraduate,4,17,3,2,4,3,2.6,Grammarly,Midjourney; QuillBot,Coding help; Assignment writing; Note-making,Take-home assignment,Heard of it,Allowed with citation,0.38,0.31,3,3,4,2,4,0,0.9,-3.7,-4.1,,2.3,Medium
R102231,2025-04-07,Panel Discussion Survey,Student,Australia,Perth,Public University,Tier 2,Hybrid,Business,Undergraduate,4,18,3,2,4,4,1.7,QuillBot,,Assignment writing; Presentation creation; Interview prep,Online quiz,Read it,Allowed (limited),0.18,0.29,4,3,3,3,4,0,5.6,0.8,1.1,,2.8,Medium
R102232,2025-05-14,Panel Discussion Survey,Student,India,Delhi,Community College,Tier 2,On-campus,Sciences,Undergraduate,2,18,1,2,4,0,0.2,Copilot,Notion AI; DALL·E; Copilot,Career guidance; Interview prep; Presentation creation,In-class test,Not aware,Allowed (limited),0.2,0.4,3,2,3,3,4,0,3.1,-3.9,2.4,,2.2,Low
R102233,2025-08-31,Workshop Feedback,Faculty,India,Pune,K-12 School,Tier 2,Hybrid,Sciences,Staff,,54,3,2,4,4,5.5,ChatGPT,Claude,Interview prep,Take-home assignment,Heard of it,Allowed with citation,0.19,0.59,4,3,2,2,4,0,,,,3.0,3.0,Medium
R102234,2025-01-27,Panel Discussion Survey,Student,Australia,Perth,EdTech Bootcamp,Tier 1,On-campus,Law,Undergraduate,1,17,2,2,4,2,2.7,Khanmigo,ChatGPT; Grammarly,Exam revision,Online quiz,Heard of it,Unclear,0.04,0.54,4,4,4,4,3,0,2.6,-1.0,-5.5,,1.7,Medium
R102235,2025-02-18,Workshop Feedback,Faculty,UK,Birmingham,K-12 School,Tier 1,Hybrid,Computer Science,Staff,,35,3,2,4,4,7.2,Copilot,ChatGPT; Grammarly; Copilot,Exam revision; Note-making,In-class test,Heard of it,Unclear,0.05,0.49,3,5,2,4,1,0,,,,4.0,2.1,Medium
R102236,2025-02-17,Class Survey,Student,UK,Birmingham,Public University,Tier 2,On-campus,Arts/Humanities,Postgraduate,2,23,5,2,4,4,1.8,Stable Diffusion,Midjourney; Perplexity; Gemini,Interview prep; Quiz practice; Coding help,Take-home assignment,Heard of it,Allowed with citation,0.51,0.51,4,3,2,3,3,0,-1.2,2.1,4.4,,0.7,Medium
R102237,2025-01-29,Workshop Feedback,Student,India,Pune,K-12 School,Tier 1,Hybrid,Computer Science,Undergraduate,3,20,3,2,4,2,0.8,ChatGPT,,Quiz practice,Online quiz,Trained on it,Allowed with citation,0.6,0.59,3,2,2,4,5,0,-3.1,-8.7,3.5,,4.2,Medium
R102238,2025-05-03,Workshop Feedback,Student,India,Chennai,K-12 School,Tier 3,On-campus,Engineering,High School,11,17,4,2,4,4,5.6,Claude,Copilot; ChatGPT,Coding help,Online quiz,Not aware,Not allowed,0.6,0.51,3,4,2,4,4,0,3.6,-5.1,-2.9,,2.4,Medium
R102239,2025-02-25,Class Survey,Student,USA,Chicago,K-12 School,Tier 3,On-campus,Engineering,High School,10,15,4,2,4,7,8.9,QuillBot,Grammarly; Stable Diffusion,Note-making; Language improvement,Take-home assignment,Read it,Not allowed,0.42,0.65,4,4,4,4,4,0,0.6,2.3,-0.6,,2.7,High
R102240,2025-09-14,Panel Discussion Survey,Student,India,Bengaluru,K-12 School,Tier 2,Online,Sciences,Undergraduate,2,20,4,2,4,6,4.6,Notion AI,Midjourney; Grammarly; ChatGPT,Interview prep,Project,Not aware,Not allowed,0.68,0.44,4,1,3,2,2,0,-2.9,-5.3,3.1,,1.7,High
R102241,2025-02-14,Workshop Feedback,Student,India,Pune,Private University,Tier 2,On-campus,Arts/Humanities,Undergraduate,1,22,2,2,4,3,6.0,Copilot,,Exam revision,Viva/Oral,Heard of it,Unclear,0.18,0.33,4,5,2,3,3,0,2.8,-6.5,-1.5,,0.0,Medium
R102242,2024-12-25,Class Survey,Student,Canada,Vancouver,Community College,Tier 2,Hybrid,Business,Undergraduate,3,18,4,2,4,4,7.9,Grammarly,,Exam revision; Assignment writing,In-class test,Not aware,Not allowed,0.57,0.63,5,3,2,4,4,1,-0.8,-1.6,0.0,,0.0,Medium
R102243,2025-06-18,Class Survey,Student,India,Hyderabad,Private University,Tier 2,On-campus,Arts/Humanities,Undergraduate,1,21,3,2,4,2,3.3,QuillBot,Copilot; Khanmigo,Coding help; Assignment writing,Viva/Oral,Read it,Allowed with citation,0.26,0.08,3,5,3,3,4,0,6.3,0.1,-5.8,,0.4,Medium
R102244,2025-02-16,Panel Discussion Survey,Student,India,Delhi,Public University,Tier 3,On-campus,Sciences,Postgraduate,2,24,3,2,4,4,1.8,Notion AI,ChatGPT; Copilot,Presentation creation; Coding help; Assignment writing,Viva/Oral,Trained on it,Allowed with citation,0.27,0.69,3,3,2,3,4,0,4.2,-3.3,-0.9,,1.2,Medium
R102245,2025-03-08,Panel Discussion Survey,Student,India,Bengaluru,K-12 School,Tier 3,On-campus,Computer Science,Undergraduate,2,19,3,2,4,5,6.3,Gemini,Copilot; DALL·E,Exam revision,In-class test,Not aware,Allowed with citation,0.5,0.44,3,2,2,3,2,0,4.3,-5.2,0.2,,1.1,Medium
R102246,2025-07-05,Panel Discussion Survey,Student,India,Mumbai,EdTech Bootcamp,Tier 2,Online,Law,Undergraduate,4,23,2,2,4,3,4.3,Notion AI,,Research summarization; Note-making; Exam revision,Viva/Oral,Trained on it,Unclear,0.41,0.0,4,3,2,3,2,0,-1.2,-4.9,2.7,,0.7,Medium
R102247,2025-03-25,Class Survey,Student,USA,Chicago,K-12 School,Tier 2,On-campus,Business,High School,11,17,3,2,4,6,6.7,Perplexity,Khanmigo; Perplexity; ChatGPT,Interview prep; Quiz practice,Project,Read it,Allowed with citation,0.46,0.48,3,2,3,3,2,0,3.5,-2.1,-2.3,,0.0,High
R102248,2025-01-19,Workshop Feedback,Student,Australia,Brisbane,Private University,Tier 3,On-campus,Computer Science,Undergraduate,2,19,3,2,4,3,6.3,Khanmigo,ChatGPT; Gemini; DALL·E,Exam revision; Research summarization; Assignment writing,Project,Trained on it,Unclear,0.13,0.37,4,3,2,5,3,0,6.5,-3.3,-0.7,,0.0,Medium
R102249,2025-03-13,Workshop Feedback,Student,India,Pune,Public University,Tier 1,Hybrid,Sciences,Postgraduate,1,24,3,2,4,4,4.6,Grammarly,QuillBot; ChatGPT,Presentation creation; Coding help; Assignment writing,Take-home assignment,Heard of it,Allowed with citation,0.54,0.26,3,2,3,2,3,0,6.6,-3.7,0.5,,0.0,Medium
R102250,2025-11-12,Panel Discussion Survey,Student,India,Chennai,Private University,Tier 2,On-campus,Computer Science,Undergraduate,1,20,5,2,4,4,9.0,Copilot,QuillBot; Notion AI; ChatGPT,Assignment writing; Interview prep; Quiz practice,Project,Heard of it,Unclear,0.61,0.96,3,3,4,4,3,0,2.3,-3.7,2.4,,0.5,Medium
R102251,2025-08-13,Panel Discussion Survey,Student,UAE,Dubai,K-12 School,Tier 2,Hybrid,Education,Undergraduate,4,23,2,2,4,3,5.2,ChatGPT,Claude; Gemini; Grammarly,Presentation creation,Take-home assignment,Trained on it,Not allowed,0.26,0.52,3,3,3,4,2,0,1.8,-2.0,-0.0,,1.6,Medium
R102252,2025-05-01,Panel Discussion Survey,Student,India,Chennai,Community College,Tier 2,Online,Computer Science,Doctorate,2,31,4,2,4,7,9.0,ChatGPT,Gemini,Interview prep; Language improvement,Project,Read it,Unclear,0.52,0.5,4,3,2,2,2,0,4.5,-6.1,-2.5,,2.7,High
R102253,2025-11-23,Panel Discussion Survey,Student,UAE,Dubai,EdTech Bootcamp,Tier 2,Hybrid,Arts/Humanities,High School,10,18,2,2,4,2,4.2,Claude,Gemini; Perplexity,Coding help; Exam revision,Take-home assignment,Read it,Allowed (limited),0.48,0.38,3,2,4,3,3,0,0.4,-2.2,1.3,,0.7,Medium
R102254,2025-07-30,Class Survey,Admin,Australia,Perth,Private University,Tier 2,Hybrid,Arts/Humanities,Staff,,41,4,2,4,5,9.1,Notion AI,ChatGPT; QuillBot,Interview prep; Coding help; Exam revision,Project,Read it,Allowed with citation,0.29,0.58,3,3,3,3,5,0,,,,5.0,13.4,High
R102255,2025-04-02,Workshop Feedback,Student,UAE,Sharjah,Private University,Tier 1,On-campus,Sciences,Undergraduate,2,22,3,2,4,6,9.0,Khanmigo,Stable Diffusion; QuillBot; Copilot,Research summarization; Note-making; Coding help,Project,Not aware,Allowed with citation,0.22,0.16,4,1,3,4,5,0,4.6,-0.8,0.7,,0.7,High
R102256,2025-02-04,Workshop Feedback,Faculty,India,Mumbai,K-12 School,Tier 2,Online,Law,Staff,,49,3,2,4,3,3.4,Stable Diffusion,Midjourney,Language improvement,Online quiz,Read it,Allowed (limited),0.3,0.92,5,4,3,3,5,0,,,,1.0,8.4,Medium
R102257,2025-03-21,Workshop Feedback,Faculty,Singapore,Singapore,Public University,Tier 3,Hybrid,Education,Staff,,33,3,2,4,4,3.5,Notion AI,QuillBot; ChatGPT,Coding help,In-class test,Heard of it,Allowed with citation,0.0,0.46,3,4,3,4,3,0,,,,0.0,8.4,Medium
R102258,2025-12-14,Workshop Feedback,Student,India,Mumbai,EdTech Bootcamp,Tier 3,On-campus,Engineering,Postgraduate,1,21,2,2,4,5,3.8,QuillBot,ChatGPT; Grammarly; Copilot,Assignment writing; Coding help; Language improvement,Take-home assignment,Heard of it,Unclear,0.34,0.7,2,2,3,4,2,0,-1.2,-4.4,2.1,,3.0,Medium
R102259,2025-02-05,Class Survey,Student,Singapore,Singapore,Community College,Tier 2,Online,Computer Science,Postgraduate,2,21,5,2,4,6,2.3,Grammarly,,Research summarization; Assignment writing; Quiz practice,Take-home assignment,Read it,Not allowed,0.65,0.46,5,4,2,1,4,1,1.1,0.6,-0.8,,1.8,High
R102260,2025-08-07,Class Survey,Student,UAE,Dubai,Public University,Tier 2,Online,Arts/Humanities,Postgraduate,2,21,2,2,4,4,5.1,Copilot,Grammarly,Quiz practice; Assignment writing,Viva/Oral,Heard of it,Allowed with citation,0.38,0.48,3,4,2,3,4,0,0.9,-2.0,-3.3,,3.3,Medium
R102261,2025-12-16,Panel Discussion Survey,Admin,UAE,Abu Dhabi,Public University,Tier 3,On-campus,Medicine,Staff,,28,3,2,4,1,0.4,Notion AI,Perplexity; ChatGPT,Coding help; Note-making,Project,Trained on it,Allowed with citation,0.49,0.24,3,4,5,3,4,0,,,,4.0,11.4,Medium
R102262,2025-07-29,Panel Discussion Survey,Student,Australia,Sydney,K-12 School,Tier 2,On-campus,Computer Science,Postgraduate,2,25,2,2,4,3,2.9,Copilot,ChatGPT; DALL·E,Coding help; Interview prep,Project,Heard of it,Allowed with citation,0.46,0.0,4,3,2,4,3,0,-0.4,2.5,-0.9,,0.5,Medium
R102263,2025-10-18,Panel Discussion Survey,Student,UAE,Sharjah,Community College,Tier 2,Hybrid,Sciences,High School,11,15,2,2,4,3,5.7,Copilot,Gemini,Career guidance,Project,Not aware,Unclear,0.26,0.53,3,3,3,4,2,0,2.0,-3.0,4.0,,1.1,Medium
